STARTOFDATA

;data pair (independent variable, dependent variable)

;y = 4 + 3*x + 2*x^2 + 1*x^2
0.000000,4.000000
1.000000,10.000000
2.000000,26.000000
3.000000,58.000000
4.000000,112.000000
5.000000,194.000000
6.000000,310.000000
7.000000,466.000000
8.000000,668.000000
9.000000,922.000000
10.000000,1234.000000
11.000000,1610.000000
12.000000,2056.000000
13.000000,2578.000000
14.000000,3182.000000
15.000000,3874.000000
16.000000,4660.000000
17.000000,5546.000000
18.000000,6538.000000
19.000000,7642.000000

;above the line below requires a semicolon
ENDOFDATA
